Time Stamp, Pressure [Pa], System State, Alarm State
Thursday 07-05-2020 02:00:14 CEST +0200,9125079,7,0
Thursday 07-05-2020 02:00:15 CEST +0200,9124646,7,0
Thursday 07-05-2020 02:00:15 CEST +0200,9123969,7,0
Thursday 07-05-2020 02:00:15 CEST +0200,9123402,7,0
Thursday 07-05-2020 02:00:15 CEST +0200,9123370,7,0
Thursday 07-05-2020 02:00:16 CEST +0200,9123846,7,0
Thursday 07-05-2020 02:00:16 CEST +0200,9124387,7,0
Thursday 07-05-2020 02:00:16 CEST +0200,9124020,7,0
Thursday 07-05-2020 02:00:16 CEST +0200,9123872,7,0
Thursday 07-05-2020 02:00:17 CEST +0200,9123503,7,0
Thursday 07-05-2020 02:00:17 CEST +0200,9123799,7,0
Thursday 07-05-2020 02:00:17 CEST +0200,9124951,7,0
Thursday 07-05-2020 02:00:17 CEST +0200,9124310,7,0
Thursday 07-05-2020 02:00:18 CEST +0200,9124040,7,0
Thursday 07-05-2020 02:00:18 CEST +0200,9124844,7,0
Thursday 07-05-2020 02:00:18 CEST +0200,9125029,7,0
Thursday 07-05-2020 02:00:18 CEST +0200,9126171,7,0
Thursday 07-05-2020 02:00:19 CEST +0200,9126117,7,0
Thursday 07-05-2020 02:00:19 CEST +0200,9125185,7,0
Thursday 07-05-2020 02:00:19 CEST +0200,9124547,7,0
Thursday 07-05-2020 02:00:19 CEST +0200,9123992,7,0
Thursday 07-05-2020 02:00:20 CEST +0200,9123957,7,0
Thursday 07-05-2020 02:00:20 CEST +0200,9123441,7,0
Thursday 07-05-2020 02:00:20 CEST +0200,9123723,7,0
Thursday 07-05-2020 02:00:20 CEST +0200,9124038,7,0
Thursday 07-05-2020 02:00:21 CEST +0200,9123874,7,0
Thursday 07-05-2020 02:00:21 CEST +0200,9124210,7,0
Thursday 07-05-2020 02:00:21 CEST +0200,9123212,7,0
Thursday 07-05-2020 02:00:21 CEST +0200,9123342,7,0
Thursday 07-05-2020 02:00:22 CEST +0200,9124251,7,0
Thursday 07-05-2020 02:00:22 CEST +0200,9125250,7,0
Thursday 07-05-2020 02:00:22 CEST +0200,9125810,7,0
Thursday 07-05-2020 02:00:22 CEST +0200,9125085,7,0
Thursday 07-05-2020 02:00:23 CEST +0200,9126171,7,0
Thursday 07-05-2020 02:00:23 CEST +0200,9127364,7,0
Thursday 07-05-2020 02:00:23 CEST +0200,9127372,7,0
Thursday 07-05-2020 02:00:23 CEST +0200,9127734,7,0
Thursday 07-05-2020 02:00:24 CEST +0200,9127831,7,0
Thursday 07-05-2020 02:00:24 CEST +0200,9128236,7,0
Thursday 07-05-2020 02:00:24 CEST +0200,9129214,7,0
Thursday 07-05-2020 02:00:24 CEST +0200,9130142,7,0
Thursday 07-05-2020 02:00:25 CEST +0200,9129642,7,0
Thursday 07-05-2020 02:00:25 CEST +0200,9130136,7,0
Thursday 07-05-2020 02:00:25 CEST +0200,9131188,7,0
Thursday 07-05-2020 02:00:25 CEST +0200,9131619,7,0
Thursday 07-05-2020 02:00:26 CEST +0200,9131716,7,0
Thursday 07-05-2020 02:00:26 CEST +0200,9131752,7,0
Thursday 07-05-2020 02:00:26 CEST +0200,9131688,7,0
Thursday 07-05-2020 02:00:26 CEST +0200,9132495,7,0
Thursday 07-05-2020 02:00:27 CEST +0200,9132363,7,0
Thursday 07-05-2020 02:00:27 CEST +0200,9132862,7,0
Thursday 07-05-2020 02:00:27 CEST +0200,9131913,7,0
Thursday 07-05-2020 02:00:27 CEST +0200,9132946,7,0
Thursday 07-05-2020 02:00:28 CEST +0200,9134129,7,0
Thursday 07-05-2020 02:00:28 CEST +0200,9134662,7,0
Thursday 07-05-2020 02:00:28 CEST +0200,9134373,7,0
Thursday 07-05-2020 02:00:28 CEST +0200,9133755,7,0
Thursday 07-05-2020 02:00:29 CEST +0200,9132987,7,0
Thursday 07-05-2020 02:00:29 CEST +0200,9132901,7,0
Thursday 07-05-2020 02:00:29 CEST +0200,9133177,7,0
Thursday 07-05-2020 02:00:29 CEST +0200,9132118,7,0
Thursday 07-05-2020 02:00:30 CEST +0200,9131394,7,0
Thursday 07-05-2020 02:00:30 CEST +0200,9131029,7,0
Thursday 07-05-2020 02:00:30 CEST +0200,9130009,7,0
Thursday 07-05-2020 02:00:30 CEST +0200,9131136,7,0
Thursday 07-05-2020 02:00:31 CEST +0200,9130327,7,0
Thursday 07-05-2020 02:00:31 CEST +0200,9130515,7,0
Thursday 07-05-2020 02:00:31 CEST +0200,9130367,7,0
Thursday 07-05-2020 02:00:31 CEST +0200,9130856,7,0
Thursday 07-05-2020 02:00:32 CEST +0200,9130249,7,0
Thursday 07-05-2020 02:00:32 CEST +0200,9129878,7,0
Thursday 07-05-2020 02:00:32 CEST +0200,9129658,7,0
Thursday 07-05-2020 02:00:32 CEST +0200,9129315,7,0
Thursday 07-05-2020 02:00:33 CEST +0200,9128237,7,0
Thursday 07-05-2020 02:00:33 CEST +0200,9127432,7,0
Thursday 07-05-2020 02:00:33 CEST +0200,9128284,7,0
Thursday 07-05-2020 02:00:33 CEST +0200,9128067,7,0
Thursday 07-05-2020 02:00:34 CEST +0200,9128498,7,0
Thursday 07-05-2020 02:00:34 CEST +0200,9128086,7,0
Thursday 07-05-2020 02:00:34 CEST +0200,9127475,7,0
Thursday 07-05-2020 02:00:34 CEST +0200,9126574,7,0
Thursday 07-05-2020 02:00:35 CEST +0200,9125460,7,0
Thursday 07-05-2020 02:00:35 CEST +0200,9124664,7,0
Thursday 07-05-2020 02:00:35 CEST +0200,9123595,7,0
Thursday 07-05-2020 02:00:35 CEST +0200,9124428,7,0
Thursday 07-05-2020 02:00:36 CEST +0200,9125366,7,0
Thursday 07-05-2020 02:00:36 CEST +0200,9125209,7,0
Thursday 07-05-2020 02:00:36 CEST +0200,9124223,7,0
Thursday 07-05-2020 02:00:36 CEST +0200,9123192,7,0
Thursday 07-05-2020 02:00:37 CEST +0200,9123713,7,0
Thursday 07-05-2020 02:00:37 CEST +0200,9124203,7,0
Thursday 07-05-2020 02:00:37 CEST +0200,9125278,7,0
Thursday 07-05-2020 02:00:37 CEST +0200,9126275,7,0
Thursday 07-05-2020 02:00:38 CEST +0200,9127165,7,0
Thursday 07-05-2020 02:00:38 CEST +0200,9126020,7,0
Thursday 07-05-2020 02:00:38 CEST +0200,9126943,7,0
Thursday 07-05-2020 02:00:38 CEST +0200,9125823,7,0
Thursday 07-05-2020 02:00:39 CEST +0200,9125630,7,0
Thursday 07-05-2020 02:00:39 CEST +0200,9125204,7,0
Thursday 07-05-2020 02:00:39 CEST +0200,9125337,7,0
Thursday 07-05-2020 02:00:39 CEST +0200,9125301,7,0
Thursday 07-05-2020 02:00:40 CEST +0200,9125269,7,0
Thursday 07-05-2020 02:00:40 CEST +0200,9125947,7,0
Thursday 07-05-2020 02:00:40 CEST +0200,9126769,7,0
Thursday 07-05-2020 02:00:40 CEST +0200,9126859,7,0
Thursday 07-05-2020 02:00:41 CEST +0200,9127932,7,0
Thursday 07-05-2020 02:00:41 CEST +0200,9128405,7,0
Thursday 07-05-2020 02:00:41 CEST +0200,9130261,13,0
Thursday 07-05-2020 02:00:41 CEST +0200,9131354,13,0
Thursday 07-05-2020 02:00:42 CEST +0200,9131446,13,0
Thursday 07-05-2020 02:00:42 CEST +0200,9131511,13,0
Thursday 07-05-2020 02:00:42 CEST +0200,9132488,13,0
Thursday 07-05-2020 02:00:42 CEST +0200,9132687,13,0
Thursday 07-05-2020 02:00:43 CEST +0200,9133178,13,0
Thursday 07-05-2020 02:00:43 CEST +0200,9134307,13,0
Thursday 07-05-2020 02:00:43 CEST +0200,9136124,13,0
Thursday 07-05-2020 02:00:43 CEST +0200,9138338,13,0
Thursday 07-05-2020 02:00:44 CEST +0200,9140095,13,0
Thursday 07-05-2020 02:00:44 CEST +0200,9142148,13,0
Thursday 07-05-2020 02:00:44 CEST +0200,9144117,13,0
